error,disturbance,Kp_corr,Ki_corr
11.5447968323444,24.3215289639548,0.285714285714286,0.125
11.5447968323444,24.3215289639548,0.285714285714286,0.375
11.5447968323444,24.3215289639548,0.285714285714286,0.625
11.5447968323444,24.3215289639548,0.285714285714286,0.875
11.5447968323444,24.3215289639548,0.285714285714286,1.125
11.5447968323444,24.3215289639548,0.285714285714286,1.375
11.5447968323444,24.3215289639548,0.285714285714286,1.625
11.5447968323444,24.3215289639548,0.285714285714286,1.875
11.5447968323444,24.3215289639548,0.571428571428571,0.125
11.5447968323444,24.3215289639548,0.571428571428571,0.375
11.5447968323444,24.3215289639548,0.571428571428571,0.625
11.5447968323444,24.3215289639548,0.571428571428571,0.875
11.5447968323444,24.3215289639548,0.571428571428571,1.125
11.5447968323444,24.3215289639548,0.571428571428571,1.375
11.5447968323444,24.3215289639548,0.571428571428571,1.625
11.5447968323444,24.3215289639548,0.571428571428571,1.875
11.5447968323444,24.3215289639548,0.857142857142857,0.125
11.5447968323444,24.3215289639548,0.857142857142857,0.375
11.5447968323444,24.3215289639548,0.857142857142857,0.625
11.5447968323444,24.3215289639548,0.857142857142857,0.875
11.5447968323444,24.3215289639548,0.857142857142857,1.125
11.5447968323444,24.3215289639548,0.857142857142857,1.375
11.5447968323444,24.3215289639548,0.857142857142857,1.625
11.5447968323444,24.3215289639548,0.857142857142857,1.875
11.5447968323444,24.3215289639548,1.14285714285714,0.125
11.5447968323444,24.3215289639548,1.14285714285714,0.375
11.5447968323444,24.3215289639548,1.14285714285714,0.625
11.5447968323444,24.3215289639548,1.14285714285714,0.875
11.5447968323444,24.3215289639548,1.14285714285714,1.125
11.5447968323444,24.3215289639548,1.14285714285714,1.375
11.5447968323444,24.3215289639548,1.14285714285714,1.625
11.5447968323444,24.3215289639548,1.14285714285714,1.875
11.5447968323444,24.3215289639548,1.42857142857143,0.125
11.5447968323444,24.3215289639548,1.42857142857143,0.375
11.5447968323444,24.3215289639548,1.42857142857143,0.625
11.5447968323444,24.3215289639548,1.42857142857143,0.875
11.5447968323444,24.3215289639548,1.42857142857143,1.125
11.5447968323444,24.3215289639548,1.42857142857143,1.375
11.5447968323444,24.3215289639548,1.42857142857143,1.625
11.5447968323444,24.3215289639548,1.42857142857143,1.875
11.5447968323444,24.3215289639548,1.71428571428571,0.125
11.5447968323444,24.3215289639548,1.71428571428571,0.375
11.5447968323444,24.3215289639548,1.71428571428571,0.625
11.5447968323444,24.3215289639548,1.71428571428571,0.875
11.5447968323444,24.3215289639548,1.71428571428571,1.125
11.5447968323444,24.3215289639548,1.71428571428571,1.375
11.5447968323444,24.3215289639548,1.71428571428571,1.625
11.5447968323444,24.3215289639548,1.71428571428571,1.875
